#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    9.80528819E+01    4.91883101E+00    2.09133866E-01    8.67295778E+05
    1.02752173E+02    4.69929137E+00    2.09498077E-01    8.67080983E+05
    1.07255959E+02    4.50378598E+00    2.09841733E-01    8.66881375E+05
    1.11584402E+02    4.32844267E+00    2.10167269E-01    8.66689926E+05
    1.15754293E+02    4.16989112E+00    2.10477691E-01    8.66508039E+05
    1.19779359E+02    4.02506638E+00    2.10773033E-01    8.66337137E+05
    1.23672093E+02    3.89273366E+00    2.11055531E-01    8.66171395E+05
    1.27443026E+02    3.77093302E+00    2.11325440E-01    8.66016861E+05
    1.31101761E+02    3.65873456E+00    2.11585508E-01    8.65865784E+05
    1.34656140E+02    3.55437963E+00    2.11835429E-01    8.65721964E+05
    1.38113609E+02    3.45746879E+00    2.12076223E-01    8.65586772E+05
    1.41480751E+02    3.36714240E+00    2.12308146E-01    8.65452216E+05
    1.44763719E+02    3.28296741E+00    2.12532654E-01    8.65322198E+05
    1.47967773E+02    3.20405365E+00    2.12750443E-01    8.65198340E+05
    1.51097654E+02    3.12988109E+00    2.12960564E-01    8.65079323E+05
    1.54158224E+02    3.06057030E+00    2.13165069E-01    8.64965028E+05
    1.57153421E+02    2.99519685E+00    2.13363223E-01    8.64850282E+05
    1.60087299E+02    2.93387784E+00    2.13556309E-01    8.64744576E+05
    1.62963293E+02    2.87599445E+00    2.13744229E-01    8.64639789E+05
    1.65784797E+02    2.82150409E+00    2.13927361E-01    8.64534981E+05
    1.68554988E+02    2.77019078E+00    2.14105792E-01    8.64435585E+05
    1.71276913E+02    2.72192483E+00    2.14280002E-01    8.64336855E+05
    1.73953427E+02    2.67651412E+00    2.14450824E-01    8.64241391E+05
    1.76587078E+02    2.63365105E+00    2.14617092E-01    8.64146147E+05
    1.79180753E+02    2.59367520E+00    2.14780684E-01    8.64059941E+05
    1.81736728E+02    2.55597444E+00    2.14941129E-01    8.63968523E+05
    1.84257484E+02    2.52075650E+00    2.15098168E-01    8.63879532E+05
    1.86745569E+02    2.48808481E+00    2.15252798E-01    8.63793978E+05
    1.89203274E+02    2.45770508E+00    2.15404383E-01    8.63712275E+05
    1.91633128E+02    2.42985363E+00    2.15553794E-01    8.63628551E+05
    1.94037507E+02    2.40437985E+00    2.15700880E-01    8.63545110E+05
    1.96418923E+02    2.38141522E+00    2.15846560E-01    8.63468988E+05
    1.98779719E+02    2.36079670E+00    2.15989034E-01    8.63390375E+05
    2.01122931E+02    2.34321195E+00    2.16131409E-01    8.63311897E+05
    2.03450897E+02    2.32796563E+00    2.16271240E-01    8.63236178E+05
    2.15090725E+02    1.16398282E+01    2.16964238E-01    8.62857354E+05
    2.37468134E+02    2.23774087E+01    2.18266712E-01    8.62151944E+05
    2.59164894E+02    2.16967601E+01    2.19502369E-01    8.61491076E+05
    2.80288318E+02    2.11234237E+01    2.20691069E-01    8.60862703E+05
    3.00907681E+02    2.06193630E+01    2.21847426E-01    8.60246289E+05
    3.21068744E+02    2.01610639E+01    2.22985012E-01    8.59644769E+05
