#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    3.09286583E+02    8.21502662E-02    3.42237690E-01    9.83430815E+05
    3.09367970E+02    8.13870606E-02    3.43909621E-01    9.81946071E+05
    3.09434236E+02    6.62663420E-02    3.45273914E-01    9.80764546E+05
    3.09499107E+02    6.48707352E-02    3.46619563E-01    9.79545334E+05
    3.09562727E+02    6.36198457E-02    3.48019046E-01    9.78302623E+05
    3.09625055E+02    6.23287665E-02    3.49446041E-01    9.77065866E+05
    3.09686121E+02    6.10655633E-02    3.50918938E-01    9.75833656E+05
    3.09745912E+02    5.97910928E-02    3.52382062E-01    9.74607978E+05
    3.09804548E+02    5.86358048E-02    3.53828885E-01    9.73348730E+05
    3.09862160E+02    5.76122024E-02    3.55324472E-01    9.72007308E+05
    3.09918741E+02    5.65807602E-02    3.56837581E-01    9.70638808E+05
    3.09974348E+02    5.56075828E-02    3.58408690E-01    9.69326925E+05
    3.10028956E+02    5.46076867E-02    3.59977190E-01    9.67951906E+05
    3.10082670E+02    5.37141392E-02    3.61615093E-01    9.66587382E+05
    3.10134321E+02    5.16512050E-02    3.63202067E-01    9.65264467E+05
    3.10185674E+02    5.13525047E-02    3.64769138E-01    9.63856590E+05
    3.10237042E+02    5.13683286E-02    3.66483402E-01    9.62405714E+05
    3.10287651E+02    5.06091911E-02    3.68204401E-01    9.60949671E+05
    3.10337598E+02    4.99462674E-02    3.69935539E-01    9.59385073E+05
    3.10386980E+02    4.93819802E-02    3.71728157E-01    9.57860835E+05
    3.10434655E+02    4.76755913E-02    3.73503450E-01    9.56350478E+05
    3.10480268E+02    4.56129045E-02    3.75254239E-01    9.54869224E+05
    3.10524156E+02    4.38880836E-02    3.77035782E-01    9.53369654E+05
    3.10566465E+02    4.23087046E-02    3.78692579E-01    9.51906734E+05
    3.10607869E+02    4.14040918E-02    3.80510920E-01    9.50399730E+05
    3.10648072E+02    4.02032301E-02    3.82287310E-01    9.48931177E+05
    3.10687485E+02    3.94132788E-02    3.84017015E-01    9.47374565E+05
    3.10726574E+02    3.90888380E-02    3.85874118E-01    9.45803015E+05
    3.10756616E+02    3.00418811E-02    3.87271928E-01    9.44558018E+05
    3.10786698E+02    3.00820930E-02    3.88732413E-01    9.43352493E+05
    3.10816779E+02    3.00807906E-02    3.90224095E-01    9.42041196E+05
    3.10846935E+02    3.01564005E-02    3.91797836E-01    9.40751650E+05
    3.10874453E+02    2.75176455E-02    3.93223830E-01    9.39503953E+05
    3.10901770E+02    2.73167180E-02    3.94721404E-01    9.38293647E+05
    3.10928833E+02    2.70629553E-02    3.96208886E-01    9.36998130E+05
    3.10955712E+02    2.68791613E-02    3.97717399E-01    9.35710392E+05
    3.10982431E+02    2.67186279E-02    3.99288939E-01    9.34387272E+05
    3.11008962E+02    2.65316800E-02    4.00862946E-01    9.33062377E+05
    3.11035361E+02    2.63990619E-02    4.02464610E-01    9.31713672E+05
    3.11061653E+02    2.62918641E-02    4.04175107E-01    9.30260195E+05
    3.11087772E+02    2.61183343E-02    4.05851599E-01    9.28844870E+05
    3.11113824E+02    2.60520040E-02    4.07537778E-01    9.27424815E+05
    3.11139868E+02    2.60441755E-02    4.09311753E-01    9.25923592E+05
    3.11165879E+02    2.60114444E-02    4.11126496E-01    9.24393503E+05
