#    time [s]          t9 [GK]          density [g/cc]
  2.7357700000e+02  2.2031400000e-01  8.6105900000e+05
  2.7444900000e+02  2.2036300000e-01  8.6103700000e+05
  2.7532100000e+02  2.2041200000e-01  8.6100900000e+05
  2.7619300000e+02  2.2046100000e-01  8.6098300000e+05
  2.7706500000e+02  2.2051000000e-01  8.6095500000e+05
  2.7793800000e+02  2.2055900000e-01  8.6092900000e+05
  2.7881000000e+02  2.2060800000e-01  8.6090400000e+05
  2.7968200000e+02  2.2065700000e-01  8.6087800000e+05
  2.8055400000e+02  2.2070600000e-01  8.6085600000e+05
  2.8142700000e+02  2.2075500000e-01  8.6082400000e+05
  2.8229900000e+02  2.2080300000e-01  8.6079900000e+05
  2.8317100000e+02  2.2085200000e-01  8.6077300000e+05
  2.8404300000e+02  2.2090100000e-01  8.6074800000e+05
  2.8491500000e+02  2.2095000000e-01  8.6072200000e+05
  2.8578800000e+02  2.2099900000e-01  8.6069700000e+05
  2.8666000000e+02  2.2104800000e-01  8.6067100000e+05
  2.8753200000e+02  2.2109700000e-01  8.6064300000e+05
  2.8840400000e+02  2.2114600000e-01  8.6061700000e+05
  2.8927700000e+02  2.2119500000e-01  8.6059200000e+05
  2.9014900000e+02  2.2124400000e-01  8.6056400000e+05
  2.9102100000e+02  2.2129300000e-01  8.6053800000e+05
  2.9189300000e+02  2.2134200000e-01  8.6051300000e+05
  2.9276500000e+02  2.2139000000e-01  8.6049000000e+05
  2.9363800000e+02  2.2143900000e-01  8.6046200000e+05
  2.9451000000e+02  2.2148800000e-01  8.6043700000e+05
  2.9538200000e+02  2.2153700000e-01  8.6040900000e+05
  2.9625400000e+02  2.2158600000e-01  8.6038600000e+05
  2.9712700000e+02  2.2163500000e-01  8.6036000000e+05
  2.9799900000e+02  2.2168400000e-01  8.6033300000e+05
  2.9887100000e+02  2.2173300000e-01  8.6030800000e+05
  2.9974300000e+02  2.2178200000e-01  8.6028200000e+05
  3.0061500000e+02  2.2183100000e-01  8.6025400000e+05
  3.0148800000e+02  2.2188000000e-01  8.6023100000e+05
  3.0236000000e+02  2.2192900000e-01  8.6020300000e+05
  3.0323200000e+02  2.2197800000e-01  8.6017700000e+05
  3.0410400000e+02  2.2202700000e-01  8.6015200000e+05
  3.0497700000e+02  2.2207600000e-01  8.6012400000e+05
  3.0584900000e+02  2.2212500000e-01  8.6009600000e+05
  3.0672100000e+02  2.2217400000e-01  8.6007400000e+05
  3.0759300000e+02  2.2222400000e-01  8.6004900000e+05
  3.0846500000e+02  2.2227300000e-01  8.6002000000e+05
  3.0933800000e+02  2.2232200000e-01  8.5999300000e+05
  3.1021000000e+02  2.2237100000e-01  8.5996800000e+05
  3.1108200000e+02  2.2242000000e-01  8.5994500000e+05
  3.1195400000e+02  2.2246900000e-01  8.5991500000e+05
  3.1282700000e+02  2.2251900000e-01  8.5988900000e+05
  3.1369900000e+02  2.2256800000e-01  8.5986700000e+05
  3.1457100000e+02  2.2261700000e-01  8.5983800000e+05
  3.1544300000e+02  2.2266700000e-01  8.5981300000e+05
  3.1631500000e+02  2.2271600000e-01  8.5978900000e+05
  3.1718800000e+02  2.2276500000e-01  8.5976100000e+05
  3.1806000000e+02  2.2281500000e-01  8.5973500000e+05
  3.1893200000e+02  2.2286400000e-01  8.5970700000e+05
  3.1980400000e+02  2.2291300000e-01  8.5967900000e+05
  3.2067700000e+02  2.2296300000e-01  8.5965600000e+05
  3.2154900000e+02  2.2301200000e-01  8.5963100000e+05
  3.2242100000e+02  2.2306200000e-01  8.5960200000e+05
  3.2329300000e+02  2.2311100000e-01  8.5957700000e+05
  3.2416500000e+02  2.2316100000e-01  8.5954800000e+05
  3.2503800000e+02  2.2321100000e-01  8.5952300000e+05
  3.2591000000e+02  2.2326000000e-01  8.5949800000e+05
